_id,usage_datetime_start_eastern_time,usage_datetime_end_eastern_time,usage_kw
773145,2024-02-06 23:55:00,2024-02-07 00:00:00,518.4
773144,2024-02-06 23:50:00,2024-02-06 23:55:00,540
773143,2024-02-06 23:45:00,2024-02-06 23:50:00,547.2
773142,2024-02-06 23:40:00,2024-02-06 23:45:00,525.6
773141,2024-02-06 23:35:00,2024-02-06 23:40:00,511.2
773140,2024-02-06 23:30:00,2024-02-06 23:35:00,489.6
773139,2024-02-06 23:25:00,2024-02-06 23:30:00,518.4
773138,2024-02-06 23:20:00,2024-02-06 23:25:00,511.2
773137,2024-02-06 23:15:00,2024-02-06 23:20:00,525.6
773136,2024-02-06 23:10:00,2024-02-06 23:15:00,518.4
773135,2024-02-06 23:05:00,2024-02-06 23:10:00,532.8
773134,2024-02-06 23:00:00,2024-02-06 23:05:00,518.4
773133,2024-02-06 22:55:00,2024-02-06 23:00:00,511.2
773132,2024-02-06 22:50:00,2024-02-06 22:55:00,540
773131,2024-02-06 22:45:00,2024-02-06 22:50:00,525.6
773130,2024-02-06 22:40:00,2024-02-06 22:45:00,518.4
773129,2024-02-06 22:35:00,2024-02-06 22:40:00,525.6
773128,2024-02-06 22:30:00,2024-02-06 22:35:00,518.4
773127,2024-02-06 22:25:00,2024-02-06 22:30:00,547.2
773126,2024-02-06 22:20:00,2024-02-06 22:25:00,568.8
773125,2024-02-06 22:15:00,2024-02-06 22:20:00,547.2
773124,2024-02-06 22:10:00,2024-02-06 22:15:00,532.8
773123,2024-02-06 22:05:00,2024-02-06 22:10:00,504
773122,2024-02-06 22:00:00,2024-02-06 22:05:00,525.6
773121,2024-02-06 21:55:00,2024-02-06 22:00:00,878.4
773120,2024-02-06 21:50:00,2024-02-06 21:55:00,943.2
773119,2024-02-06 21:45:00,2024-02-06 21:50:00,950.4
773118,2024-02-06 21:40:00,2024-02-06 21:45:00,943.2
773117,2024-02-06 21:35:00,2024-02-06 21:40:00,972
773116,2024-02-06 21:30:00,2024-02-06 21:35:00,950.4
